2019-06-21 06:10:31,b'RT @adgpi: 5th #InternationalYogDay \n\nOur fit &amp; fearless soldiers #IndianArmy practice #Yoga on the icy heights of #HimalayanRanges. We are\xe2\x80\xa6'
2019-06-21 06:10:29,"b'Yoga is our bonding with the inner-self, it is the illumination of the Shiva within us. \n#Yoga #YogaDay2019\xe2\x80\xa6 https://t.co/7Mz6HTYZ2B'"
2019-06-21 06:10:29,"b""RT @BBC: It's always a good time for kilted #yoga...\nhttps://t.co/uZhDXdufIK"""
2019-06-21 06:10:28,"b'Yoga is the journey of the self, to the self, through the self .\n\nGrow Homes wishes you a very ""Happy Yoga Day""!!!\xe2\x80\xa6 https://t.co/pvmwifVVx7'"
2019-06-21 06:10:28,b'RT @RiseofBurnol: I would like to thank @narendramodi  ji whose efforts &amp; thinking gave recognition to ages old tradition &amp; culture of Indi\xe2\x80\xa6'
2019-06-21 06:10:27,b'Gortnm IT celebrating Yog Divas &amp; wishes best for your health &amp; peace in the nature. Be happy. Contact us for IT re\xe2\x80\xa6 https://t.co/hnAdUp3eqw'
2019-06-21 06:10:22,b'This is the #Supraacademy wave. #yoga https://t.co/zxYUqrV6M8'
2019-06-21 06:10:21,b'RT @PIB_India: We need more Yoga teachers to take Yoga to the masses. @moayush has created Yoga Certification Board; board will certify tra\xe2\x80\xa6'
2019-06-21 06:10:19,b'International Yoga Day \n\nhttps://t.co/pTt9kw9y0W\n\n#yoga #fitness #meditation  #yogalife   #health   #motivation\xe2\x80\xa6 https://t.co/ESGBV0FmTw'
2019-06-21 06:10:18,"b'Yoga is all about creating a balance in your life. It is about balancing your senses, balancing your body, soul, an\xe2\x80\xa6 https://t.co/AQ1CRLTBOz'"
2019-06-21 06:10:16,b'RT @incredibleindia: Delhities learning #Yoga as part of  International Yoga Day 2019 activities organised by @tourismgoi at #qutubminar  h\xe2\x80\xa6'
2019-06-21 06:10:13,b'RT @ChinarcorpsIA: 5th #InternationalDayOfYoga celebrations in #Kashmir. Wishing everyone good #happiness #HealthAndWellness. #Yoga for rem\xe2\x80\xa6'
2019-06-21 06:10:13,b'RT @IndianDiplomacy: No barriers of age because #yoga is for everybody\n\n#IDY2019 #YogaDay2019 #YogaDay\n#yogapractice\n#Yoga4ClimateAction ht\xe2\x80\xa6'
2019-06-21 06:10:13,b'RT @IYOGASHRAYA: The story of the yoga mat. How #Guruji Iyengar started using it #Iyengaryoga #yoga #bksiyengar\nhttps://t.co/3fSf3854hp htt\xe2\x80\xa6'
2019-06-21 06:10:11,"b'So glad to see the international, beautifully inclusive &amp;  #interfaith celebrations of #Yoga. My many blessings - Y\xe2\x80\xa6 https://t.co/d9Ik9NhWwL'"
2019-06-21 06:10:02,"b'#Yoga is a journey of the self, to the self, through the self\xe2\x80\xbc\xef\xb8\x8f \nHappy #YogaDay #InternationalDayOfYoga.\n\nComplete\xe2\x80\xa6 https://t.co/1WZSJ8NPeN'"
2019-06-21 06:10:01,b'RT @DDNewsLive: #ITBP personnel perform #Yoga on #InternationalDayofYoga at an altitude of 18000 ft in Northern Ladakh at minus 20 degrees\xe2\x80\xa6'
